iddesa,binding_constraint,tier,lever,note,magnitude,severity
7402031003,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.471292786700904,0.471292786700904
7402031005,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7402031006,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7402031008,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7402032001,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402032002,z_B1,Tier 1,Penguatan kepadatan usaha perdagangan lokal (pertokoan),,-0.3381007950824587,0.3381007950824587
7402032003,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
7402032004,z_B2,Tier 1,Perluasan akses perbankan pemerintah dan koperasi simpan pinjam,,-0.27166923980560326,0.27166923980560326
7402061001,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7402061005,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),"Konektivitas digital di bawah rata-rata, berasosiasi dengan keterbatasan diversifikasi pendapatan non-pertanian",-0.29213101705915423,0.29213101705915423
7402062007,z_B7,Tier 1,Pemenuhan layanan kesehatan dasar (pemerataan layanan),,-0.29213101705915423,0.29213101705915423
