iddesa,iddesa,mean_ndvi,mean_ntl,z_NDVI,z_NTL,luas
7403101026,7403101026,0.4349097547859981,1.2212396868702522,0.8982540473767293,0.519140740489021,2328695.0098376647
7403101027,7403101027,0.2967190212673611,1.3690187452771831,-0.33135691566796943,0.6571648809060052,2177062.6247000536
7403101028,7403101028,0.2910352018144395,1.2486698048868807,-0.38193112229765347,0.5447601922678802,2960026.9823710267
7403102003,7403102003,0.1289104577720574,0.471916354512895,-1.8245051471937836,-0.18071964540015903,5990513.218615108
7403102004,7403102004,0.0685922937926157,0.4223692751565163,-2.36121172520646,-0.2269961145566003,18813346.29246254
7403102006,7403102006,0.4642822959206321,0.4112909517201938,1.1596087538177113,-0.23734315618782525,16433540.093491178
7403102009,7403102009,0.4003523588180542,0.5444987657141597,0.5907648847207557,-0.11292841013690347,5255422.47754127
7403102010,7403102010,0.2959694385528564,0.5090786064937274,-0.3380266474220127,-0.14601047929159225,7895520.857373791
7403102015,7403102015,0.5856414522443499,0.4996854613095984,2.2394535833653726,-0.1547835815418535,3793251.776435205
7403103001,7403103001,0.5027130514762036,0.9374358681359036,1.5015627846417008,0.25407085474106267,3404571.594417936
7403103002,7403103002,0.2665864159079159,0.911985152339976,-0.5994746175692796,0.23030014454302614,4593074.95197105
7403103003,7403103003,0.3885982118803879,0.8593504007898315,0.48617735147748253,0.1811398209011921,1985507.2076209607
7403103007,7403103007,0.4306062810561236,0.7928261917591749,0.8599620552677585,0.11900688496724983,716050.281851373
7403103008,7403103008,0.3268484528531733,0.9233985593950532,-0.06326745377055827,0.24096015087266648,3129407.6304773856
7403103009,7403103009,0.2360758697777463,2.706817349175062,-0.8709552085965928,1.9066551966826146,3738607.8216139735
7403103010,7403103010,0.0907178897302127,4.750158303892815,-2.1643398030735814,3.815114906021988,5154913.871136782
7403103012,7403103012,0.2711645371421089,1.2217030465633196,-0.5587388322067082,0.5195735137386881,7732669.160989838
7403103014,7403103014,0.2969944795822715,0.713731228068788,-0.3289059078814745,0.04513299178939064,1854020.2161250927
7403104003,7403104003,0.3138945579528808,1.5844428289405126,-0.1785302559712598,0.8583687882341425,905451.7523368916
7403104004,7403104004,0.3798006497896634,1.351618674340679,0.4078972923202424,0.6409133912829472,2380453.2070446713
7403104008,7403104008,0.4407606720924377,1.5779761462157944,0.9503150783929359,0.8523289722138591,1225470.3596190112
7403104009,7403104009,0.2166723715292441,1.0330640800665811,-1.043606106093705,0.34338663394300883,4520881.678239691
7403104010,7403104010,0.4917114575703938,0.9765727307918578,1.403671412817373,0.29062428717552113,4736876.160653566
7403105001,7403105001,0.2287658003510022,0.5766117456030299,-0.9359996676487636,-0.08293521290604788,7669106.649749979
7403105002,7403105002,0.4137224555015564,0.7113913755165414,0.7097310197169543,0.04294759325790852,3024540.7696602806
7403105003,7403105003,0.1997823715209961,0.7339233010183507,-1.1938920814783418,0.06399218295046871,3031074.4722377
7403105004,7403105004,0.3693091587546171,1.1424932461635509,0.3145447782485355,0.44559236423999693,4085126.919330281
7403105005,7403105005,0.2106894485088957,3.0573625910022555,-1.0968417142242655,2.234060894093616,1752914.3105909806
7403105006,7403105006,0.3113127498088982,7.624629602476573,-0.20150299457309165,6.499841919560111,8138594.703160592
7403105007,7403105007,0.0396726880421028,16.632127941028738,-2.6185362459780754,14.912753930831704,13314360.458844695
7403105008,7403105008,0.3708201457316841,0.6973112452946519,0.3279894290200632,0.02979689456091135,17724871.375363417
7403105009,7403105009,0.2806249398414744,0.8596107374345987,-0.4745608661610424,0.18138297268467476,14540660.50698896
7403105010,7403105010,0.3529913106956782,5.231968921361647,0.16934976874478339,4.265121131780921,47448183.52895715
7403130045,7403130045,0.1556716316574208,0.4336828693844391,-1.586386194095163,-0.21642933239430195,9567547.021392409
7403130046,7403130046,0.311838043689272,0.5031011327836765,-0.19682896833644278,-0.15159337905823603,8318186.0998434685
7403130047,7403130047,0.3298500234430486,0.4106195214681131,-0.036559699859074604,-0.23797026522744447,4708744.406982112
7403130048,7403130048,0.1801644271825053,0.7261574948390467,-1.368451104480819,0.05673899881126684,7112078.757114097
7403130049,7403130049,0.5270354747772217,0.425236139533009,1.7179819147616828,-0.2243184923310758,11099019.712825712
7403130055,7403130055,0.1014119608594715,0.543594277326266,-2.069184746252474,-0.11377319310955175,3698364.0287416913
7403130056,7403130056,0.309390171714451,0.3321445395102392,-0.21860995277534392,-0.3112651017606963,24572751.03850219
7403130059,7403130059,0.2665615487575513,0.4061244511877307,-0.5996958836406683,-0.2421686152389547,7087720.2085818825
7403130060,7403130060,0.2056242448775413,0.4273467379707774,-1.1419115228618122,-0.22234721481531144,14972171.812815044
7403130061,7403130061,0.3699401795394777,0.3896696091255628,0.320159554689888,-0.25753727068859206,8209114.322292302
7403131001,7403131001,0.2041040906053938,0.6152033350841385,-1.1554377435493934,-0.04689106008171694,5542405.908780448
7403131002,7403131002,0.3772332034562787,0.5811509022379702,0.38505234405073374,-0.07869568668691003,5472745.658740134
7403131003,7403131003,0.2510562393711761,0.9420988256187314,-0.7376609839150331,0.25842600969539997,3308748.9152451213
7403131004,7403131004,0.1786216735839843,0.358310252964532,-1.3821784123090408,-0.2868265910078325,34741160.43656995
7403131005,7403131005,0.3547628364759026,0.8889792644133715,0.18511267458670444,0.20881287875699556,1966224.277382439
7403131007,7403131007,0.2956835111441355,0.8679069141667006,-0.3405708084337261,0.18913151753629123,8147260.924672607
7403131008,7403131008,0.274188511173417,0.8412884696416212,-0.5318317341243505,0.16427016055907723,7574122.476836142
7403131009,7403131009,0.1520636275007918,0.4768218721336191,-1.6184899491932103,-0.17613794173930353,7827721.352118825
7403131010,7403131010,0.1891732287051072,1.4327022644860292,-1.2882914524257765,0.7166446413827929,1202103.3520570283
7403131011,7403131011,0.3114851163159643,0.9789473103835172,-0.19996929009556527,0.2928421204092937,1945611.8532486074
7403131012,7403131012,0.1785179093123445,1.2129305333625982,-1.3831016991513052,0.5113800754607688,613460.0225328719
7403131013,7403131013,0.3224413052672597,1.16675826764652,-0.10248192821044172,0.46825564798595287,949687.6040557786
7403131014,7403131014,0.3221191522544359,0.9222220397597122,-0.10534842197785961,0.23986129347634655,4558882.3119857535
7403131015,7403131015,0.3954745133717854,0.4114629688835529,0.5473621754069589,-0.23718249390342888,14222246.873354677
7403131017,7403131017,0.4171631336212158,0.3207546418900093,0.7403459200689426,-0.3219031505168383,20424647.33598414
7403131018,7403131018,0.4067665100097656,0.4499947608000158,0.6478375293412497,-0.20119419139745984,9949326.259931244
7403131019,7403131019,0.2420517848927065,1.0515216449685123,-0.8177819562917369,0.36062581219494083,5522102.94571101
7403132001,7403132001,0.4041068407168422,0.3959494307770025,0.6241719879740286,-0.2516719810138862,6654081.224707114
7403132002,7403132002,0.4003320581772748,0.4247296423980168,0.5905842511151326,-0.22479155551360372,4315862.337572998
7403132004,7403132004,0.1913874516898537,0.3716077625717121,-1.2685894594820697,-0.27440685202043386,8534927.127598755
7403132005,7403132005,0.3635928111330943,0.3534355147427914,0.26368113837176305,-0.29137954702248525,13746881.050879706
7403132006,7403132006,0.308886754901129,0.4721367941596932,-0.2230893184815711,-0.18051375700777694,8477299.096077692
7403132007,7403132007,0.3681854145829457,0.4072836217134836,0.3045457854220126,-0.2410859617348758,9062852.607573753
7403132008,7403132008,0.3480496613875679,0.463301673207675,0.12537933737027152,-0.18876567028986346,3935435.9096494825
7403132009,7403132009,0.2256365098596256,0.3685667956507816,-0.9638438638316376,-0.2772470842551131,16027500.14995955
7403132010,7403132010,0.3651294752233858,0.3447756647186636,0.277354262204518,-0.2994677590371328,17694464.758217014
7403132011,7403132011,0.454736833741679,0.344575924831317,1.074673934791034,-0.2996543140643146,4966619.835297789
7403132012,7403132012,0.348083659289355,0.3367591926927952,0.12568184819493758,-0.3069550625324662,19576637.904841613
7403132013,7403132013,0.34413246866529,0.4385982408593085,0.09052444520036941,-0.21183842533370326,4617006.667337123
7403132014,7403132014,0.3340290905957553,0.3153207442099828,0.0006253316942542325,-0.3269783557893895,12451204.569855161
