iddesa,has_agri,is_urban,is_analytic,is_ndvi_exc,is_ntl_exc
7403102017,False,True,False,False,False
7403103001,True,True,True,False,False
7403103002,True,True,True,False,False
7403103003,True,True,True,False,False
7403103004,False,True,False,False,False
7403103005,False,True,False,False,False
7403103006,False,True,False,False,False
7403103007,True,True,True,False,False
7403103008,True,True,True,False,False
7403103009,True,True,True,False,False
7403103010,True,True,True,True,True
7403103011,False,True,False,False,False
7403103012,True,True,True,False,False
7403103013,False,True,False,False,False
7403103014,True,True,True,False,False
7403103015,False,True,False,False,False
7403104001,False,True,False,False,False
7403104002,False,True,False,False,False
7403104003,True,True,True,False,False
7403104004,True,True,True,False,False
7403104005,False,True,False,False,False
7403104006,False,True,False,False,False
7403104007,False,True,False,False,False
7403104008,True,True,True,False,False
7403104009,True,True,True,False,False
7403104010,True,True,True,False,False
7403105001,True,True,True,False,False
7403105002,True,True,True,False,False
7403105003,True,True,True,False,False
7403105004,True,True,True,False,False
7403105005,True,True,True,False,False
7403105006,True,True,True,False,True
7403105007,True,True,True,True,True
7403105008,True,True,True,False,False
7403105009,True,True,True,False,False
7403105010,True,True,True,False,True
7403130045,True,True,True,False,False
7403130046,True,True,True,False,False
7403130047,True,True,True,False,False
7403130048,True,True,True,False,False
7403130049,True,True,True,False,False
7403130055,True,True,True,True,False
7403130056,True,True,True,False,False
7403130059,True,True,True,False,False
7403130060,True,True,True,False,False
7403130061,True,True,True,False,False
7403131001,True,True,True,False,False
7403131002,True,True,True,False,False
7403131003,True,True,True,False,False
7403131004,True,True,True,False,False
7403131005,True,True,True,False,False
7403131006,False,True,False,False,False
7403131007,True,True,True,False,False
7403131008,True,True,True,False,False
7403131009,True,True,True,False,False
7403131010,True,True,True,False,False
7403131011,True,True,True,False,False
7403131012,True,True,True,False,False
7403131013,True,True,True,False,False
7403131014,True,True,True,False,False
7403131015,True,True,True,False,False
7403131017,True,True,True,False,False
7403131018,True,True,True,False,False
7403131019,True,True,True,False,False
7403132001,True,True,True,False,False
7403132002,True,True,True,False,False
7403132003,False,True,False,False,False
7403132004,True,True,True,False,False
7403132005,True,True,True,False,False
7403132006,True,True,True,False,False
7403132007,True,True,True,False,False
7403132008,True,True,True,False,False
7403132009,True,True,True,False,False
7403132010,True,True,True,False,False
7403132011,True,True,True,False,False
7403132012,True,True,True,False,False
7403132013,True,True,True,False,False
7403132014,True,True,True,False,False
7403132015,False,True,False,False,False
7403132016,True,True,True,False,False
7403133001,True,True,True,False,False
7403133002,True,True,True,False,False
7403133003,True,True,True,False,False
7403133004,True,True,True,False,False
7403133005,False,True,False,False,False
7403133006,True,True,True,False,False
7403133007,True,True,True,False,False
7403133008,True,True,True,False,False
7403133009,True,True,True,False,False
7403133010,True,True,True,False,False
7403133011,True,True,True,False,False
7403133012,True,True,True,False,False
7403140003,True,True,True,False,False
7403140004,True,True,True,False,False
7403140005,True,True,True,False,False
7403140022,True,True,True,False,False
7403140023,True,True,True,False,False
7403140024,True,True,True,False,False
7403140025,True,True,True,False,False
7403140026,True,True,True,False,False
7403140027,True,True,True,False,False
7403140028,True,True,True,False,False
7403140029,True,True,True,False,False
7403140030,True,True,True,False,False
7403140031,True,True,True,False,False
7403140032,True,True,True,False,False
7403140033,True,True,True,False,False
7403140034,True,True,True,False,False
7403140035,True,True,True,False,False
7403140036,True,True,True,False,False
7403141001,True,True,True,False,False
7403141002,True,True,True,False,False
7403141003,True,True,True,False,False
7403141004,True,True,True,False,False
7403141005,True,True,True,False,False
7403141006,True,True,True,False,False
7403141015,True,True,True,False,False
7403141016,True,True,True,False,False
7403141017,True,True,True,False,False
7403141018,True,True,True,False,False
7403141021,True,True,True,False,False
7403141022,True,True,True,False,False
7403141025,True,True,True,False,False
7403141026,True,True,True,False,False
7403141029,True,True,True,False,False
7403141030,True,True,True,False,False
7403142001,True,True,True,False,False
7403142002,True,True,True,False,False
7403142003,True,True,True,False,False
7403142004,True,True,True,False,False
7403142005,True,True,True,False,False
7403142006,True,True,True,False,False
