iddesa,quadrant
7405041006,3.0
7405041007,3.0
7405041008,1.0
7405041009,1.0
7405041010,1.0
7405041011,3.0
7405041012,4.0
7405041013,1.0
7405041014,3.0
7405041015,3.0
7405041016,3.0
7405041017,1.0
7405050003,3.0
7405050004,3.0
7405050005,1.0
7405050006,3.0
7405050007,3.0
7405050009,1.0
7405050010,3.0
7405050011,3.0
7405050013,3.0
7405050014,3.0
7405050015,3.0
7405050028,3.0
7405050030,3.0
7405051005,1.0
7405060005,3.0
7405060006,3.0
7405060008,1.0
7405060009,3.0
7405060011,1.0
7405060015,3.0
7405070001,3.0
7405070003,1.0
7405070004,1.0
7405070023,3.0
7405070024,4.0
7405070025,1.0
7405070026,3.0
7405070027,1.0
7405070028,1.0
7405070029,1.0
7405070030,1.0
7405070031,1.0
7405070040,1.0
7405070041,1.0
7405070044,3.0
7405071032,3.0
7405071033,4.0
7405071034,1.0
7405071035,3.0
7405071036,4.0
7405071037,4.0
7405071038,2.0
7405071039,2.0
7405071042,3.0
7405071043,4.0
7405080005,2.0
7405080006,4.0
7405080007,4.0
7405080008,4.0
7405080009,4.0
7405080010,4.0
7405080011,4.0
7405080013,4.0
7405080014,2.0
7405080015,4.0
7405080016,2.0
7405080017,2.0
7405080018,2.0
7405080019,4.0
7405080020,2.0
7405080021,4.0
7405081001,1.0
7405081002,1.0
7405081003,1.0
7405081004,1.0
7405081006,1.0
7405090002,3.0
7405090003,3.0
7405090005,2.0
7405090008,2.0
7405090009,4.0
7405090010,4.0
7405090011,4.0
7405090012,2.0
7405090013,2.0
7405090020,2.0
7405090021,1.0
7405091001,1.0
7405091002,4.0
7405091003,4.0
7405091004,1.0
7405091005,1.0
7405091006,3.0
7405091009,3.0
7405100007,1.0
7405100008,1.0
7405100009,1.0
7405100010,1.0
7405100011,2.0
7405100012,3.0
7405100013,2.0
7405100014,1.0
7405100015,1.0
7405100033,1.0
7405100035,2.0
7405100036,1.0
7405101001,1.0
7405101002,1.0
7405101003,1.0
7405101004,1.0
7405101005,2.0
7405101006,3.0
7405101007,1.0
7405101008,1.0
7405101009,2.0
7405101010,1.0
7405101011,1.0
7405101012,2.0
7405101013,1.0
7405101014,2.0
7405101015,1.0
7405101016,3.0
7405101017,1.0
7405101018,1.0
7405101019,1.0
7405101020,1.0
7405102001,3.0
7405102002,3.0
7405102003,3.0
7405102006,3.0
7405102007,3.0
7405102008,3.0
7405102009,1.0
7405102010,3.0
7405110016,1.0
7405110017,3.0
7405110018,1.0
7405110019,1.0
7405110020,1.0
7405110022,1.0
7405110023,1.0
7405110024,1.0
7405110025,1.0
7405110026,1.0
7405110027,1.0
7405110028,1.0
7405110029,1.0
7405110030,1.0
7405110032,1.0
7405110033,1.0
7405110034,1.0
7405110035,1.0
7405110036,1.0
7405110037,1.0
7405110038,1.0
7405110040,1.0
7405111001,1.0
7405111002,3.0
7405111003,1.0
7405111004,1.0
7405111005,3.0
7405111007,1.0
7405111008,1.0
7405111011,1.0
7405111014,1.0
7405111015,1.0
7405112001,1.0
7405112002,3.0
7405112003,3.0
7405112004,1.0
7405112005,3.0
7405112006,2.0
7405112007,3.0
7405112008,1.0
7405112010,3.0
7406010003,3.0
7406010004,3.0
7406011001,1.0
7406011002,1.0
7406011003,1.0
7406011004,3.0
7406011005,3.0
7406012001,3.0
7406012002,3.0
7406013001,1.0
7406013002,3.0
7406013004,1.0
7406020003,3.0
7406021004,3.0
7406021006,1.0
7406021007,1.0
7406030002,4.0
7406030003,2.0
7406030004,4.0
7406030005,4.0
7406031001,3.0
7406031002,3.0
7406031003,3.0
7406031004,3.0
7406031005,1.0
7406031007,1.0
7406031008,1.0
7406031010,1.0
7406031011,1.0
7406032002,1.0
7406033004,4.0
7406033005,4.0
7406040001,1.0
7406040002,1.0
7406040003,3.0
7406040004,3.0
7406040005,3.0
7406040006,1.0
7406040007,1.0
7406040008,1.0
7406040009,3.0
7406041001,3.0
7406041002,1.0
7406041003,3.0
7406041004,3.0
7406041005,3.0
7406041006,1.0
7406041007,1.0
7406041008,1.0
7406042001,1.0
7406042002,1.0
7406042003,1.0
7406042004,1.0
7406042005,1.0
7406043001,1.0
7406043002,1.0
7406043003,1.0
7406043004,1.0
7406043005,1.0
7406043006,1.0
7406043007,2.0
7406043008,3.0
7406043009,1.0
7406050003,1.0
7406050004,1.0
7406050009,1.0
7406050012,1.0
7406050016,1.0
7406051001,1.0
7406051002,3.0
7406051003,1.0
7406051004,3.0
7406051005,1.0
7406051006,1.0
7406051007,1.0
7406051008,3.0
7406052001,4.0
7406052002,3.0
7406052003,3.0
7406052004,1.0
7406052005,1.0
7406053001,3.0
7406053003,3.0
7406053004,3.0
7406053005,3.0
7406060001,3.0
7406060002,1.0
7406060003,1.0
7406060006,1.0
7406060007,1.0
7406060008,2.0
7406060009,3.0
7406060010,4.0
7406061001,3.0
7406061002,1.0
7406061003,3.0
7406061004,1.0
7406061005,3.0
7406061006,1.0
7406061007,1.0
